;CEP;Estabelecimento;Existentes;em Uso;SUS;endereco;latitude;longitude;Ponto
33;5403010;HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;1;1;S;;-23.5574696;-46.6721702;
34;5403000;HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;1;1;S;;-23.5556371;-46.6719692;
35;nan;-15.799108, -47.932140;1;1;N;;-15.79891;-47.93078;"geometry  \
0  POINT (-47.93078 -15.79891)   

                                             address  
0  Bloco J, Acesso SQSW 504, Setor Residencial In..."
36;nan;-22.291456, -48.549536;1;1;S;;-22.29166;-48.54908;"geometry  \
0  POINT (-48.54908 -22.29166)   

                                             address  
0  Hospital Amaral Carvalho, Rua Fernando Maldona..."
37;90035070;HOSPITAL BENEFICENCIA PORTUGUESA;1;1;N;;-30.0293713;-51.2139224;
38;nan;-20.828211, -49.397363;1;1;S;;-20.82849;-49.39742;"geometry  \
0  POINT (-49.39742 -20.82849)   

                                             address  
0  Hospital de Base, 5544, Avenida Brigadeiro Far..."
39;nan;-15.799152, -47.888276;1;0;S;;-15.79870;-47.88911;"geometry  \
0  POINT (-47.88911 -15.79870)   

                                             address  
0  Praça do Povo, S3 Oeste, Setor Comercial Sul, ..."
40;90035903;HOSPITAL DE CLINICAS;1;1;S;;-30.038678400000002;-51.20662475812864;
41;59040000;HOSPITAL DR LUIZ ANTONIO;1;1;S;;-5.7959446;-35.2232306;
42;66085148;HOSPITAL HSM;1;1;N;;-1.4347676;-48.472743;
43;nan;-23.599813, -46.716403;2;2;N;;-23.60019;-46.71667;"geometry  \
0  POINT (-46.71667 -23.60019)   

                                             address  
0  Avenida Albert Einstein, Morumbi, São Paulo, R..."
44;78350000;HOSPITAL MUNICIPAL DE BRASNORTE BRASNORTE;1;1;S;;-12.1227151;-58.0050109;
45;88701160;HOSPITAL NOSSA SENHORA DA CONCEICAO;1;1;S;;-28.4798198;-49.0032532;
46;95010005;HOSPITAL POMPEIA;1;1;S;;-29.1677804;-51.1783148;
47;66093908;HOSPITAL PORTO DIAS;1;1;N;;-1.4373014;-48.4589016;
48;1232010;HOSPITAL SAMARITANO;1;1;N;;-23.5287929;-46.6551161;
49;40050410;HOSPITAL SANTA ISABEL;1;1;S;;-12.9727563;-38.50254569084604;
50;nan;-23.605607, -46.675191;1;1;N;;-23.60617;-46.67565;"geometry  \
0  POINT (-46.67565 -23.60617)   

                                             address  
0  Avenida Santo Amaro, Indianópolis, Moema, São ..."
51;65060645;HOSPITAL SAO DOMINGOS;1;1;N;;-2.5182869;-44.2537076;
52;90610000;HOSPITAL SAO LUCAS DA PUCRS;1;1;S;;-30.0483881;-51.1962264;
53;1308050;HOSPITAL SIRIO LIBANES;2;2;N;;-23.5582008;-46.6545126;
54;21941590;HOSPITAL UNIVERSITARIO CLEMENTINO FRAGA FILHO;1;1;S;;-22.8330513;-43.24273;
55;58050585;HOSPITAL UNIVERSITARIO LAURO WANDERLEY;1;1;S;;-7.132387;-34.8453125;
56;nan;-23.590100, -46.673291;1;1;N;;-23.59020;-46.67318;"geometry  \
0  POINT (-46.67318 -23.59020)   

                                             address  
0  Ponto de Táxi São Luis, Rua Doutor João Clímac..."
57;22775001;HOSPITAL VITORIA AMC;1;1;N;;-22.9939465;-43.3763836;
58;nan;-15.821465, -47.928261;1;1;N;;-15.82158;-47.92846;"geometry  \
0  POINT (-47.92846 -15.82158)   

                                             address  
0  Advance, SGAS 914, SQS 314, Brasília, Plano Pi..."
59;50070555;IMIP;1;1;S;;-8.0663506;-34.8895049;
60;nan;-23.605614, -46.675245;1;1;N;;-23.60617;-46.67565;"geometry  \
0  POINT (-46.67565 -23.60617)   

                                             address  
0  Avenida Santo Amaro, Indianópolis, Moema, São ..."
61;nan;-23.605614, -46.675245;1;1;N;;-23.60617;-46.67565;"geometry  \
0  POINT (-46.67565 -23.60617)   

                                             address  
0  Avenida Santo Amaro, Indianópolis, Moema, São ..."
62;14025390;INSTITUTO DE MEDICINA NUCLEAR DE RIBEIRAO PRETO;1;1;S;;-21.203993;-47.8201339;
63;nan;-23.605614, -46.675245;1;1;N;;-23.60617;-46.67565;"geometry  \
0  POINT (-46.67565 -23.60617)   

                                             address  
0  Avenida Santo Amaro, Indianópolis, Moema, São ..."
64;59075710;INSTITUTO DE RADIOLOGIA DE NATAL;1;1;S;;-5.8259982;-35.2098174;
65;19050690;INSTITUTO DE RADIOLOGIA PRESIDENTE PRUDENTE;1;1;S;;-22.1343548;-51.3988241;
66;30140070;INSTITUTO HERMES PARDINI AIMORES 66;1;1;S;;-19.9309052;-43.9280088;
67;86010620;INSTITUTO SAUDE;1;1;S;;-23.3230725;-51.160185;
68;90020090;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE;1;1;S;;-30.0304242;-51.2229713;
69;99010112;KOZMA DIAGNOSTICO POR IMAGEM;1;1;N;;-28.2645846;-52.4208798;
70;55014000;MANOEL FLORENCIO DIAGNOSTICOS;1;1;S;;-8.2737826;-35.9740852;
71;79002073;MS DIAGNOSTICOS MEDICOS;1;1;N;;-20.462928;-54.6107583;
72;65025670;NUCLEAR MARANHAO;1;1;N;;-2.5341563;-44.2956112;
73;70390150;NUCLEOS CENTRO DE MEDICINA NUCLEAR;1;1;N;;-15.8261407;-47.9012468;
74;66093908;PORTO DIAS DIAGNOSTICO POR IMAGEM;1;1;N;;-1.4373014;-48.4589016;
75;80045170;QUANTA DIAGNOSTICO E TERAPIA;1;1;S;;-25.42663;-49.2550913;
76;52010902;REAL HOSPITAL PORTUGUES;1;1;S;;-8.0533935;-34.8966824;
77;22280004;REDE DOR SAO LUIZ S A DC 39;1;1;N;;-22.957953;-43.1908919;
78;39400364;RESSONAR;1;1;N;;-16.7208178;-43.860519;
79;86010640;TAKEDA FERNANDES;1;1;N;;-23.3249784;-51.1601586;
80;64000120;UDI 24 HORAS;1;1;N;;-5.0892804;-42.8146103;
81;86010050;ULTRAMED UNIDADE DE ULTRASSONOGRAFIA LONDRINA;1;1;S;;-23.3241145;-51.1627314;
82;15015630;UMA;1;1;N;;-20.8138735;-49.3903135;
83;nan;-23.583903, -46.663351;1;1;N;;-23.58773;-46.66407;"geometry  \
0  POINT (-46.66407 -23.58773)   

                                             address  
0  Avenida República do Líbano, Indianópolis, Moe..."
84;5017020;UNIDADE AVANCADA EINSTEIN PERDIZES;1;1;N;;-23.5338074;-46.676205;
85;66030250;UNIDADE BASICA DE SAUDE DO JURUNAS;1;1;S;;-1.4689738;-48.48895;
86;70200730;UNIDADE BRASILIA III;1;1;N;;-15.8261407;-47.9012468;
87;88357300;UNIDADE DE SAUDE ZANTAO;13;13;S;;-27.1631408;-48.9069358;
88;37460000;UNIDADE INTEGRADA DE SAUDE;1;1;S;;-22.3893803;-44.9666039;
89;22775003;UNIMED RIO HOSPITAL BARRA DA TIJUCA;1;1;N;;-22.9976134;-43.3650848;
90;65903090;W PET SA;1;1;N;;-5.5140146;-47.4719553;
91;65903090;WNUCLEAR;1;1;S;;-5.5140146;-47.4719553;
